:START_ID(Lexicon-ID) lang :END_ID(Node-ID)
1553 fr 7727
1554 fr 7728
1555 fr 7755
1556 fr 7765
1557 fr 7766
1558 fr 7769
1559 fr 7772
1560 fr 7778
1561 fr 7782
1562 fr 7783
1563 fr 7788
1564 fr 7789
1565 fr 7790
1566 fr 7795
1567 fr 7801
1568 fr 7803
1569 fr 7806
1570 fr 7810
1571 fr 7812
1572 fr 7813
1573 fr 7815
1574 fr 7816
1575 fr 7828
1576 fr 7830
1577 fr 7832
1578 fr 7844
1579 fr 7847
1580 fr 7854
1581 fr 7856
1582 fr 7858
1583 fr 7861
1584 fr 7863
1585 fr 7866
1586 fr 7869
1587 fr 7871
1588 fr 7877
1589 fr 7881
1590 fr 7882
1591 fr 7884
1592 fr 7887
1593 fr 7892
1594 fr 7896
1595 fr 7899
1596 fr 7911
1597 fr 7912
1598 fr 7913
1599 fr 7917
1600 fr 7918
1601 fr 7922
1602 fr 7926
1603 fr 7937
1604 fr 7938
1605 fr 7941
1606 fr 7949
1607 fr 7951
1608 fr 7954
1609 fr 7959
1610 fr 7960
1611 fr 7963
1612 fr 7971
1613 fr 7973
1614 fr 7987
1615 fr 7988
1616 fr 7996
1617 fr 8004
1618 fr 8016
1619 fr 8017
1620 fr 8025
1621 fr 8028
1622 fr 8032
1623 fr 8033
1624 fr 8044
1625 fr 8053
1626 fr 8054
1627 fr 8056
1628 fr 8057
1629 fr 8062
1630 fr 8072
1631 fr 8078
1632 fr 8079
1633 fr 8093
1634 fr 8094
1635 fr 8095
1636 fr 8097
1637 fr 8103
1638 fr 8105
1639 fr 8117
1640 fr 8121
1641 fr 8130
1642 fr 8131
1643 fr 8132
1644 fr 8142
1645 fr 8158
1646 fr 8161
1647 fr 8167
1648 fr 8170
1649 fr 8172
1650 fr 8179
1651 fr 8184
1652 fr 8191
1653 fr 8194
1654 fr 8203
1655 fr 8207
1656 fr 8209
1657 fr 8219
1658 fr 8232
1659 fr 8233
1660 fr 8234
1661 fr 8236
1662 fr 8239
1663 fr 8244
1664 fr 8247
1665 fr 8250
1666 fr 8254
1667 fr 8256
1668 fr 8259
1669 fr 8269
